,E+,SiteKBTU,OS
baseline_sys06.osm,22.1.0-4ba5fb374c,6354876.837420714,Transition
humidity_control.rb,22.1.0-4ba5fb374c,7918604.478856031,Transition
zone_hvac_cooling_panel.rb,22.1.0-4ba5fb374c,1045053.6786862605,Transition
water_economizer.rb,22.1.0-4ba5fb374c,7873858.03260604,Transition
heatpump_varspeed.rb,22.1.0-4ba5fb374c,1575945.004116156,Transition
heatexchanger_desiccant_balancedflow.rb,22.1.0-4ba5fb374c,5265455.839332588,Transition
swimmingpool_indoor.osm,22.1.0-4ba5fb374c,11524735.8419985,Transition
schedule_fixed_interval.osm,22.1.0-4ba5fb374c,4177693.5212050085,Transition
water_heaters.osm,22.1.0-4ba5fb374c,6287420.692968016,Transition
baseline_sys08.osm,22.1.0-4ba5fb374c,6541359.855842359,Transition
plenums.rb,22.1.0-4ba5fb374c,5220263.919036048,Transition
elcd_no_generators.rb,22.1.0-4ba5fb374c,1051195.5336258907,Transition
fan_systemmodel.rb,22.1.0-4ba5fb374c,11925937.350855926,Transition
baseline_sys09.rb,22.1.0-4ba5fb374c,6752855.768069074,Transition
humidity_control.osm,22.1.0-4ba5fb374c,7918604.478856031,Transition
multi_stage.rb,22.1.0-4ba5fb374c,2984505.50478498,Transition
unitary_system.rb,22.1.0-4ba5fb374c,3821570.194589686,Transition
dist_ht_cl.osm,22.1.0-4ba5fb374c,7575172.423481704,Transition
utility_bill02.rb,22.1.0-4ba5fb374c,5643123.049092632,Transition
fan_componentmodel.rb,22.1.0-4ba5fb374c,3923327.840626524,Transition
multi_stage.osm,22.1.0-4ba5fb374c,2983974.7271976047,Transition
airterminal_inletsidemixer.rb,22.1.0-4ba5fb374c,3364475.9101473857,Transition
generator_microturbine.rb,22.1.0-4ba5fb374c,48438298.19349532,Transition
foundation_kiva_customblocks.rb,22.1.0-4ba5fb374c,4565274.89804353,Transition
unitary_systems_airloop_and_zonehvac.rb,22.1.0-4ba5fb374c,5635502.599445313,Transition
pthp_othercoils.osm,22.1.0-4ba5fb374c,3937061.7106998637,Transition
lowtemprad_electric.osm,22.1.0-4ba5fb374c,2104419.3958892524,Transition
hightemprad.rb,22.1.0-4ba5fb374c,4425917.346843864,Transition
shadowcalculation.osm,22.1.0-4ba5fb374c,2938782.806901065,Transition
zone_hvac.osm,22.1.0-4ba5fb374c,,Transition
lifecyclecostparameters.osm,22.1.0-4ba5fb374c,162673.85235937464,Transition
dist_ht_cl.rb,22.1.0-4ba5fb374c,7572584.882743249,Transition
heatpump_varspeed.osm,22.1.0-4ba5fb374c,1575945.004116156,Transition
unitary_systems_airloop_and_zonehvac.osm,22.1.0-4ba5fb374c,5633322.620068592,Transition
performanceprecisiontradeoffs.rb,22.1.0-4ba5fb374c,4410951.314514116,Transition
zone_air_movement.osm,22.1.0-4ba5fb374c,34213724.24062674,Transition
zone_air_movement.rb,22.1.0-4ba5fb374c,34213724.24062674,Transition
solar_collector_integralcollectorstorage.rb,22.1.0-4ba5fb374c,6264341.346088386,Transition
availability_managers.osm,22.1.0-4ba5fb374c,4288948.2947873855,Transition
absorption_chillers.rb,22.1.0-4ba5fb374c,7841594.337830574,Transition
plant_op_schemes.rb,22.1.0-4ba5fb374c,7761996.656066663,Transition
infiltration.rb,22.1.0-4ba5fb374c,1044617.6828109166,Transition
airterminal_fourpipebeam.rb,22.1.0-4ba5fb374c,6122547.904889514,Transition
schedule_fixed_interval_schedulefile.rb,22.1.0-4ba5fb374c,4248485.981921211,Transition
plant_op_schemes.osm,22.1.0-4ba5fb374c,7761996.656066663,Transition
unitary_test.osm,22.1.0-4ba5fb374c,2120361.679852922,Transition
schedule_file.osm,22.1.0-4ba5fb374c,6910856.882025303,Transition
multiple_loops_w_plenums.osm,22.1.0-4ba5fb374c,6491902.75850441,Transition
doas_coil_cooling_dx_two_speed.osm,22.1.0-4ba5fb374c,3386759.0906459517,Transition
meters.osm,22.1.0-4ba5fb374c,7823434.161805371,Transition
photovoltaics_sandia.rb,22.1.0-4ba5fb374c,1957052.7900229378,Transition
zone_mixing.osm,22.1.0-4ba5fb374c,1044617.6828109166,Transition
baseline_sys07.osm,22.1.0-4ba5fb374c,7568243.880332214,Transition
foundation_kiva.osm,22.1.0-4ba5fb374c,4570412.066835629,Transition
lowtemprad_constflow.osm,22.1.0-4ba5fb374c,8970491.918979753,Transition
fuelcell.osm,22.1.0-4ba5fb374c,7455813.8135206485,Transition
generator_windturbine.rb,22.1.0-4ba5fb374c,2938782.806901065,Transition
